
Run from 2023-04-02 10:59:53.135590
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.01, 50, 100)
train_loss: 0.4896273910999298, val_loss: 0.9489397406578064

('adam', 0.01, 50, 200)
train_loss: 0.482624351978302, val_loss: 0.8796496987342834

('adam', 0.01, 50, 300)
train_loss: 0.4792307913303375, val_loss: 0.9412951469421387

('adam', 0.01, 100, 100)
train_loss: 0.4894230365753174, val_loss: 0.9548073410987854

('adam', 0.01, 100, 200)
train_loss: 0.482484370470047, val_loss: 0.8846715092658997

('adam', 0.01, 100, 300)
train_loss: 0.4813118577003479, val_loss: 0.9719187617301941

('adam', 0.01, 200, 100)
train_loss: 0.48994049429893494, val_loss: 0.9413642883300781

('adam', 0.01, 200, 200)
train_loss: 0.4821079671382904, val_loss: 0.9186830520629883

('adam', 0.01, 200, 300)
train_loss: 0.4817739427089691, val_loss: 0.9776591658592224

('adam', 0.1, 50, 100)
train_loss: 0.4790610671043396, val_loss: 0.9568166732788086

('adam', 0.1, 50, 200)
train_loss: 0.4715902507305145, val_loss: 0.878778874874115

('adam', 0.1, 50, 300)
train_loss: 0.46764761209487915, val_loss: 0.8355288505554199

('adam', 0.1, 100, 100)
train_loss: 0.4751419723033905, val_loss: 0.9160512089729309

('adam', 0.1, 100, 200)
train_loss: 0.4715721607208252, val_loss: 0.8785870671272278

('adam', 0.1, 100, 300)
train_loss: 0.46618813276290894, val_loss: 0.8186354041099548

('adam', 0.1, 200, 100)
train_loss: 0.47518619894981384, val_loss: 0.9163835048675537

('adam', 0.1, 200, 200)
train_loss: 0.47204264998435974, val_loss: 0.8835474848747253

('adam', 0.1, 200, 300)
train_loss: 0.4661328196525574, val_loss: 0.8179890513420105

('adam', 0.2, 50, 100)
train_loss: 0.47232943773269653, val_loss: 0.8829866051673889

('adam', 0.2, 50, 200)
train_loss: 0.46496421098709106, val_loss: 0.8039939403533936

('adam', 0.2, 50, 300)
train_loss: 0.45936864614486694, val_loss: 0.7314119338989258

('adam', 0.2, 100, 100)
train_loss: 0.4737480580806732, val_loss: 0.8985374569892883

('adam', 0.2, 100, 200)
train_loss: 0.4634115695953369, val_loss: 0.7848888039588928

('adam', 0.2, 100, 300)
train_loss: 0.4586111009120941, val_loss: 0.720238208770752

('adam', 0.2, 200, 100)
train_loss: 0.47372427582740784, val_loss: 0.9011515974998474

('adam', 0.2, 200, 200)
train_loss: 0.4646145701408386, val_loss: 0.799715518951416

('adam', 0.2, 200, 300)
train_loss: 0.45846471190452576, val_loss: 0.7180275321006775


---------
BEST MODEL
('adam', 0.2, 200, 300)
val_loss: 0.7180275321006775
---------

Run from 2023-04-05 15:30:42.277563
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.7846271395683289, val_loss: 0.6756126284599304

('adam', 0.001, 8, 50)
train_loss: 0.638815701007843, val_loss: 0.6940911412239075

('adam', 0.001, 8, 100)
train_loss: 0.5237196683883667, val_loss: 0.8273966908454895

('adam', 0.001, 16, 10)
train_loss: 0.6391358375549316, val_loss: 0.7149924635887146

('adam', 0.001, 16, 50)
train_loss: 0.6583403944969177, val_loss: 0.6924875378608704

('adam', 0.001, 16, 100)
train_loss: 0.5421958565711975, val_loss: 0.7991349101066589

('adam', 0.001, 32, 10)
train_loss: 0.7634273171424866, val_loss: 0.6787829399108887

('adam', 0.001, 32, 50)
train_loss: 0.666113555431366, val_loss: 0.6937806010246277

('adam', 0.001, 32, 100)
train_loss: 0.6613407135009766, val_loss: 0.6866648197174072

('adam', 0.001, 64, 10)
train_loss: 0.6323458552360535, val_loss: 0.7213807106018066

('adam', 0.001, 64, 50)
train_loss: 0.7104122042655945, val_loss: 0.6837455630302429

('adam', 0.001, 64, 100)
train_loss: 0.5939404368400574, val_loss: 0.7432696223258972

('adam', 0.01, 8, 10)
train_loss: 0.6495124697685242, val_loss: 0.6677908301353455

('adam', 0.01, 8, 50)
train_loss: 0.48105114698410034, val_loss: 0.9069907665252686

('adam', 0.01, 8, 100)
train_loss: 0.47677692770957947, val_loss: 0.9260147213935852

('adam', 0.01, 16, 10)
train_loss: 0.6287639737129211, val_loss: 0.6969466209411621

('adam', 0.01, 16, 50)
train_loss: 0.4870850443840027, val_loss: 0.9189373850822449

('adam', 0.01, 16, 100)
train_loss: 0.4792432188987732, val_loss: 0.8902933597564697

('adam', 0.01, 32, 10)
train_loss: 0.6002723574638367, val_loss: 0.7299518585205078

('adam', 0.01, 32, 50)
train_loss: 0.4932868480682373, val_loss: 0.9007025361061096

('adam', 0.01, 32, 100)
train_loss: 0.4865001440048218, val_loss: 0.8477632403373718

('adam', 0.01, 64, 10)
train_loss: 0.6124043464660645, val_loss: 0.728015661239624

('adam', 0.01, 64, 50)
train_loss: 0.5238255858421326, val_loss: 0.8142761588096619

('adam', 0.01, 64, 100)
train_loss: 0.5183524489402771, val_loss: 0.7700701355934143

('adam', 0.1, 8, 10)
train_loss: 0.48592516779899597, val_loss: 0.9592167735099792

('adam', 0.1, 8, 50)
train_loss: 0.48142126202583313, val_loss: 0.9360256195068359

('adam', 0.1, 8, 100)
train_loss: 0.47160521149635315, val_loss: 0.8803994059562683

('adam', 0.1, 16, 10)
train_loss: 0.4934979975223541, val_loss: 1.1176406145095825

('adam', 0.1, 16, 50)
train_loss: 0.47486788034439087, val_loss: 0.9349480271339417

('adam', 0.1, 16, 100)
train_loss: 0.4735989272594452, val_loss: 0.8633415102958679

('adam', 0.1, 32, 10)
train_loss: 0.4890545904636383, val_loss: 1.1090930700302124

('adam', 0.1, 32, 50)
train_loss: 0.4774806797504425, val_loss: 0.9118382930755615

('adam', 0.1, 32, 100)
train_loss: 0.47517675161361694, val_loss: 0.8933035731315613

('adam', 0.1, 64, 10)
train_loss: 0.5007486939430237, val_loss: 0.8512975573539734

('adam', 0.1, 64, 50)
train_loss: 0.48205527663230896, val_loss: 0.9444051384925842

('adam', 0.1, 64, 100)
train_loss: 0.47629618644714355, val_loss: 0.9249672889709473


---------
BEST MODEL
('adam', 0.01, 8, 10)
val_loss: 0.6677908301353455
---------

Run from 2023-04-05 16:32:05.970312
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.7897641658782959, val_loss: 0.6755602955818176

('adam', 0.001, 8, 50)
train_loss: 0.5480839014053345, val_loss: 0.7963132262229919

('adam', 0.001, 8, 100)
train_loss: 0.5977199673652649, val_loss: 0.7011335492134094

('adam', 0.001, 16, 10)
train_loss: 0.6068117022514343, val_loss: 0.7397597432136536

('adam', 0.001, 16, 50)
train_loss: 0.6700853109359741, val_loss: 0.6875516772270203

('adam', 0.001, 16, 100)
train_loss: 0.6411125659942627, val_loss: 0.6877344250679016

('adam', 0.001, 32, 10)
train_loss: 0.7167482972145081, val_loss: 0.685314953327179

('adam', 0.001, 32, 50)
train_loss: 0.6075030565261841, val_loss: 0.7312794327735901

('adam', 0.001, 32, 100)
train_loss: 0.6814628839492798, val_loss: 0.6791095733642578

('adam', 0.001, 64, 10)
train_loss: 0.6362903714179993, val_loss: 0.718758761882782

('adam', 0.001, 64, 50)
train_loss: 0.7700440287590027, val_loss: 0.6758387684822083

('adam', 0.001, 64, 100)
train_loss: 0.6720356941223145, val_loss: 0.6908535361289978

('adam', 0.01, 8, 10)
train_loss: 0.5552344918251038, val_loss: 0.758856475353241

('adam', 0.01, 8, 50)
train_loss: 0.4814084768295288, val_loss: 0.8837725520133972

('adam', 0.01, 8, 100)
train_loss: 0.47880783677101135, val_loss: 0.9506147503852844

('adam', 0.01, 16, 10)
train_loss: 0.598088800907135, val_loss: 0.7210207581520081

('adam', 0.01, 16, 50)
train_loss: 0.49731311202049255, val_loss: 0.8065431714057922

('adam', 0.01, 16, 100)
train_loss: 0.479876309633255, val_loss: 0.9179372787475586

('adam', 0.01, 32, 10)
train_loss: 0.5909257531166077, val_loss: 0.7409601211547852

('adam', 0.01, 32, 50)
train_loss: 0.5135301351547241, val_loss: 0.8022074699401855

('adam', 0.01, 32, 100)
train_loss: 0.48509737849235535, val_loss: 0.852019727230072

('adam', 0.01, 64, 10)
train_loss: 0.577304482460022, val_loss: 0.7654008865356445

('adam', 0.01, 64, 50)
train_loss: 0.5941367745399475, val_loss: 0.6998398900032043

('adam', 0.01, 64, 100)
train_loss: 0.49280261993408203, val_loss: 0.8990388512611389

('adam', 0.1, 8, 10)
train_loss: 0.4853608012199402, val_loss: 0.9643401503562927

('adam', 0.1, 8, 50)
train_loss: 0.48046836256980896, val_loss: 0.9351779818534851

('adam', 0.1, 8, 100)
train_loss: 0.4748362898826599, val_loss: 0.8945872783660889

('adam', 0.1, 16, 10)
train_loss: 0.4821857213973999, val_loss: 1.0087895393371582

('adam', 0.1, 16, 50)
train_loss: 0.47775915265083313, val_loss: 0.9069268703460693

('adam', 0.1, 16, 100)
train_loss: 0.4772816598415375, val_loss: 0.9901692271232605

('adam', 0.1, 32, 10)
train_loss: 0.49328458309173584, val_loss: 1.171554446220398

('adam', 0.1, 32, 50)
train_loss: 0.47788310050964355, val_loss: 0.9671812653541565

('adam', 0.1, 32, 100)
train_loss: 0.48041921854019165, val_loss: 1.0348891019821167

