
Run from 2023-04-02 10:47:26.779622
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.01, 50, 100)
train_loss: 0.6280547380447388, val_loss: 0.7499977946281433

('adam', 0.01, 50, 200)
train_loss: 0.6154491901397705, val_loss: 0.763362467288971

('adam', 0.01, 50, 300)
train_loss: 0.6077077984809875, val_loss: 0.7612702250480652

('adam', 0.01, 100, 100)
train_loss: 0.6215071678161621, val_loss: 0.7511099576950073

('adam', 0.01, 100, 200)
train_loss: 0.6131054759025574, val_loss: 0.7627376317977905

('adam', 0.01, 100, 300)
train_loss: 0.619187593460083, val_loss: 0.7643663287162781

('adam', 0.01, 200, 100)
train_loss: 0.6273762583732605, val_loss: 0.750098705291748

('adam', 0.01, 200, 200)
train_loss: 0.6175755262374878, val_loss: 0.763961136341095

('adam', 0.01, 200, 300)
train_loss: 0.6184107065200806, val_loss: 0.7641186714172363

('adam', 0.1, 50, 100)
train_loss: 0.5933013558387756, val_loss: 0.7592526078224182

('adam', 0.1, 50, 200)
train_loss: 0.5693913698196411, val_loss: 0.7647948861122131

('adam', 0.1, 50, 300)
train_loss: 0.552358090877533, val_loss: 0.7814150452613831

('adam', 0.1, 100, 100)
train_loss: 0.5910820364952087, val_loss: 0.7594927549362183

('adam', 0.1, 100, 200)
train_loss: 0.566857099533081, val_loss: 0.7663136720657349

('adam', 0.1, 100, 300)
train_loss: 0.5509178638458252, val_loss: 0.7838073372840881

('adam', 0.1, 200, 100)
train_loss: 0.5915408730506897, val_loss: 0.7594361901283264

('adam', 0.1, 200, 200)
train_loss: 0.5643070936203003, val_loss: 0.7681021094322205

('adam', 0.1, 200, 300)
train_loss: 0.5508083701133728, val_loss: 0.7839987874031067

('adam', 0.2, 50, 100)
train_loss: 0.5620772838592529, val_loss: 0.769987940788269

('adam', 0.2, 50, 200)
train_loss: 0.5441676378250122, val_loss: 0.7992850542068481

('adam', 0.2, 50, 300)
train_loss: 0.5374094843864441, val_loss: 0.8303473591804504

('adam', 0.2, 100, 100)
train_loss: 0.5641001462936401, val_loss: 0.7679386734962463

('adam', 0.2, 100, 200)
train_loss: 0.5423352122306824, val_loss: 0.8051980137825012

('adam', 0.2, 100, 300)
train_loss: 0.5368899703025818, val_loss: 0.8348246812820435

('adam', 0.2, 200, 100)
train_loss: 0.5649693608283997, val_loss: 0.7671782374382019

('adam', 0.2, 200, 200)
train_loss: 0.5444453358650208, val_loss: 0.7984752655029297

('adam', 0.2, 200, 300)
train_loss: 0.537849485874176, val_loss: 0.8270468711853027


---------
BEST MODEL
('adam', 0.01, 50, 100)
val_loss: 0.7499977946281433
---------

Run from 2023-04-05 15:05:04.777856
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.6852225065231323, val_loss: 0.692530632019043

('adam', 0.001, 8, 50)
train_loss: 0.6714597344398499, val_loss: 0.6974859833717346

('adam', 0.001, 8, 100)
train_loss: 0.6573610305786133, val_loss: 0.7049072980880737

('adam', 0.001, 16, 10)
train_loss: 0.6908239722251892, val_loss: 0.6938015818595886

('adam', 0.001, 16, 50)
train_loss: 0.6712195873260498, val_loss: 0.694564163684845

('adam', 0.001, 16, 100)
train_loss: 0.6458925604820251, val_loss: 0.6990540623664856

('adam', 0.001, 32, 10)
train_loss: 0.683197021484375, val_loss: 0.6912210583686829

('adam', 0.001, 32, 50)
train_loss: 0.6840762495994568, val_loss: 0.6954137086868286

('adam', 0.001, 32, 100)
train_loss: 0.6680898070335388, val_loss: 0.6967499852180481

('adam', 0.001, 64, 10)
train_loss: 0.6899933218955994, val_loss: 0.6927202939987183

('adam', 0.001, 64, 50)
train_loss: 0.6879127621650696, val_loss: 0.6943559050559998

('adam', 0.001, 64, 100)
train_loss: 0.6641089916229248, val_loss: 0.6919248700141907

('adam', 0.01, 8, 10)
train_loss: 0.649077832698822, val_loss: 0.704955518245697

('adam', 0.01, 8, 50)
train_loss: 0.6157693862915039, val_loss: 0.7687566876411438

('adam', 0.01, 8, 100)
train_loss: 0.6170297861099243, val_loss: 0.7632225751876831

('adam', 0.01, 16, 10)
train_loss: 0.6588879823684692, val_loss: 0.7007551193237305

('adam', 0.01, 16, 50)
train_loss: 0.612023115158081, val_loss: 0.7492810487747192

('adam', 0.01, 16, 100)
train_loss: 0.620378315448761, val_loss: 0.7713489532470703

('adam', 0.01, 32, 10)
train_loss: 0.6608160138130188, val_loss: 0.6961771249771118

('adam', 0.01, 32, 50)
train_loss: 0.6136471629142761, val_loss: 0.7431992888450623

('adam', 0.01, 32, 100)
train_loss: 0.6251372694969177, val_loss: 0.7551531195640564

('adam', 0.01, 64, 10)
train_loss: 0.6781060695648193, val_loss: 0.6944398880004883

('adam', 0.01, 64, 50)
train_loss: 0.6297779679298401, val_loss: 0.7188282012939453

('adam', 0.01, 64, 100)
train_loss: 0.6294300556182861, val_loss: 0.7498038411140442

('adam', 0.1, 8, 10)
train_loss: 0.6167619824409485, val_loss: 0.7312445044517517

('adam', 0.1, 8, 50)
train_loss: 0.5793273448944092, val_loss: 0.7709430456161499

('adam', 0.1, 8, 100)
train_loss: 0.5517436265945435, val_loss: 0.8421486616134644

('adam', 0.1, 16, 10)
train_loss: 0.6150882244110107, val_loss: 0.7797942757606506

('adam', 0.1, 16, 50)
train_loss: 0.5833699107170105, val_loss: 0.7663816809654236

('adam', 0.1, 16, 100)
train_loss: 0.5619071125984192, val_loss: 0.7712744474411011

('adam', 0.1, 32, 10)
train_loss: 0.6174936294555664, val_loss: 0.7940769791603088

('adam', 0.1, 32, 50)
train_loss: 0.5878857970237732, val_loss: 0.7721298336982727

('adam', 0.1, 32, 100)
train_loss: 0.5698603391647339, val_loss: 0.7742348313331604

('adam', 0.1, 64, 10)
train_loss: 0.6155102252960205, val_loss: 0.7912231087684631

('adam', 0.1, 64, 50)
train_loss: 0.6072409749031067, val_loss: 0.7705000042915344

('adam', 0.1, 64, 100)
train_loss: 0.5930583477020264, val_loss: 0.7592746019363403


---------
BEST MODEL
('adam', 0.001, 32, 10)
val_loss: 0.6912210583686829
---------

Run from 2023-04-05 16:05:36.872716
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.6899228692054749, val_loss: 0.6941089034080505

('adam', 0.001, 8, 50)
train_loss: 0.6636801958084106, val_loss: 0.6966695189476013

('adam', 0.001, 8, 100)
train_loss: 0.6482012867927551, val_loss: 0.7049274444580078

('adam', 0.001, 16, 10)
train_loss: 0.6743447184562683, val_loss: 0.6896230578422546

('adam', 0.001, 16, 50)
train_loss: 0.6712461113929749, val_loss: 0.6947407126426697

('adam', 0.001, 16, 100)
train_loss: 0.6458501815795898, val_loss: 0.6983945965766907

('adam', 0.001, 32, 10)
train_loss: 0.6953546404838562, val_loss: 0.6947641372680664

('adam', 0.001, 32, 50)
train_loss: 0.6751638650894165, val_loss: 0.693352997303009

('adam', 0.001, 32, 100)
train_loss: 0.6710988283157349, val_loss: 0.6972107291221619

('adam', 0.001, 64, 10)
train_loss: 0.7019013166427612, val_loss: 0.6963887810707092

('adam', 0.001, 64, 50)
train_loss: 0.6736941337585449, val_loss: 0.6908847689628601

('adam', 0.001, 64, 100)
train_loss: 0.666321873664856, val_loss: 0.6922871470451355

('adam', 0.01, 8, 10)
train_loss: 0.6391205787658691, val_loss: 0.7039455771446228

('adam', 0.01, 8, 50)
train_loss: 0.6184127926826477, val_loss: 0.7486383318901062

('adam', 0.01, 8, 100)
train_loss: 0.6067049503326416, val_loss: 0.7656348347663879

('adam', 0.01, 16, 10)
train_loss: 0.6616020202636719, val_loss: 0.701241135597229

('adam', 0.01, 16, 50)
train_loss: 0.6198639273643494, val_loss: 0.7523751258850098

('adam', 0.01, 16, 100)
train_loss: 0.6120754480361938, val_loss: 0.765063464641571

('adam', 0.01, 32, 10)
train_loss: 0.6809349060058594, val_loss: 0.6996968984603882

('adam', 0.01, 32, 50)
train_loss: 0.6335721015930176, val_loss: 0.7321361899375916

('adam', 0.01, 32, 100)
train_loss: 0.6209381818771362, val_loss: 0.7582744359970093

('adam', 0.01, 64, 10)
train_loss: 0.6915571093559265, val_loss: 0.6978554725646973

('adam', 0.01, 64, 50)
train_loss: 0.628182590007782, val_loss: 0.7191497683525085

('adam', 0.01, 64, 100)
train_loss: 0.6139293909072876, val_loss: 0.7527604699134827

('adam', 0.1, 8, 10)
train_loss: 0.6160448789596558, val_loss: 0.7697874307632446

('adam', 0.1, 8, 50)
train_loss: 0.580417811870575, val_loss: 0.7276595234870911

('adam', 0.1, 8, 100)
train_loss: 0.5540212392807007, val_loss: 0.7679932713508606

('adam', 0.1, 16, 10)
train_loss: 0.6234070658683777, val_loss: 0.7640026211738586

('adam', 0.1, 16, 50)
train_loss: 0.5823549628257751, val_loss: 0.7658936381340027

('adam', 0.1, 16, 100)
train_loss: 0.5587124824523926, val_loss: 0.7726271748542786

('adam', 0.1, 32, 10)
train_loss: 0.6266052722930908, val_loss: 0.8168649077415466

('adam', 0.1, 32, 50)
train_loss: 0.5991762280464172, val_loss: 0.7504013776779175

('adam', 0.1, 32, 100)
train_loss: 0.5706998109817505, val_loss: 0.7403091788291931

