
Run from 2023-04-02 10:49:30.831244
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.01, 50, 100)
train_loss: 0.6312788724899292, val_loss: 0.738612711429596

('adam', 0.01, 50, 200)
train_loss: 0.6240350008010864, val_loss: 0.7636374235153198

('adam', 0.01, 50, 300)
train_loss: 0.6219000220298767, val_loss: 0.7843880653381348

('adam', 0.01, 100, 100)
train_loss: 0.6287937164306641, val_loss: 0.7418955564498901

('adam', 0.01, 100, 200)
train_loss: 0.6226949095726013, val_loss: 0.7739866375923157

('adam', 0.01, 100, 300)
train_loss: 0.6221765875816345, val_loss: 0.7797335386276245

('adam', 0.01, 200, 100)
train_loss: 0.6247991323471069, val_loss: 0.7568097710609436

('adam', 0.01, 200, 200)
train_loss: 0.622032880783081, val_loss: 0.7815083265304565

('adam', 0.01, 200, 300)
train_loss: 0.622150719165802, val_loss: 0.7806167602539062

('adam', 0.1, 50, 100)
train_loss: 0.6215870380401611, val_loss: 0.7973394989967346

('adam', 0.1, 50, 200)
train_loss: 0.6215865015983582, val_loss: 0.7967057228088379

('adam', 0.1, 50, 300)
train_loss: 0.6215865612030029, val_loss: 0.7967047095298767

('adam', 0.1, 100, 100)
train_loss: 0.621586799621582, val_loss: 0.7963194847106934

('adam', 0.1, 100, 200)
train_loss: 0.6215865015983582, val_loss: 0.7967045903205872

('adam', 0.1, 100, 300)
train_loss: 0.6215865612030029, val_loss: 0.7967045903205872

('adam', 0.1, 200, 100)
train_loss: 0.6215882897377014, val_loss: 0.7977896928787231

('adam', 0.1, 200, 200)
train_loss: 0.6215865612030029, val_loss: 0.7967033386230469

('adam', 0.1, 200, 300)
train_loss: 0.6215865612030029, val_loss: 0.7967047095298767

('adam', 0.2, 50, 100)
train_loss: 0.6215869188308716, val_loss: 0.7970170974731445

('adam', 0.2, 50, 200)
train_loss: 0.6215865612030029, val_loss: 0.7967063188552856

('adam', 0.2, 50, 300)
train_loss: 0.6215865612030029, val_loss: 0.7967045903205872

('adam', 0.2, 100, 100)
train_loss: 0.6215870380401611, val_loss: 0.7970741987228394

('adam', 0.2, 100, 200)
train_loss: 0.6215865612030029, val_loss: 0.7967046499252319

('adam', 0.2, 100, 300)
train_loss: 0.6215865015983582, val_loss: 0.7967046499252319

('adam', 0.2, 200, 100)
train_loss: 0.6215872168540955, val_loss: 0.7973097562789917

('adam', 0.2, 200, 200)
train_loss: 0.6215865612030029, val_loss: 0.7967067956924438

('adam', 0.2, 200, 300)
train_loss: 0.6215865612030029, val_loss: 0.7967045903205872


---------
BEST MODEL
('adam', 0.01, 50, 100)
val_loss: 0.738612711429596
---------

Run from 2023-04-05 15:09:05.231991
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.6735828518867493, val_loss: 0.6758843660354614

('adam', 0.001, 8, 50)
train_loss: 0.6582942008972168, val_loss: 0.6809849143028259

('adam', 0.001, 8, 100)
train_loss: 0.6476289629936218, val_loss: 0.6989141702651978

('adam', 0.001, 16, 10)
train_loss: 0.6738712787628174, val_loss: 0.6729752421379089

('adam', 0.001, 16, 50)
train_loss: 0.6601758599281311, val_loss: 0.6721266508102417

('adam', 0.001, 16, 100)
train_loss: 0.6627346873283386, val_loss: 0.708590567111969

('adam', 0.001, 32, 10)
train_loss: 0.6801174283027649, val_loss: 0.6799556612968445

('adam', 0.001, 32, 50)
train_loss: 0.6652558445930481, val_loss: 0.6752718091011047

('adam', 0.001, 32, 100)
train_loss: 0.6879624724388123, val_loss: 0.7283777594566345

('adam', 0.001, 64, 10)
train_loss: 0.6726699471473694, val_loss: 0.6680803298950195

('adam', 0.001, 64, 50)
train_loss: 0.6693042516708374, val_loss: 0.6729097962379456

('adam', 0.001, 64, 100)
train_loss: 0.6713535189628601, val_loss: 0.687015950679779

('adam', 0.01, 8, 10)
train_loss: 0.6476436257362366, val_loss: 0.6928521990776062

('adam', 0.01, 8, 50)
train_loss: 0.6216029524803162, val_loss: 0.797673761844635

('adam', 0.01, 8, 100)
train_loss: 0.6298898458480835, val_loss: 0.737901508808136

('adam', 0.01, 16, 10)
train_loss: 0.6510240435600281, val_loss: 0.6924464106559753

('adam', 0.01, 16, 50)
train_loss: 0.6330483555793762, val_loss: 0.7360664010047913

('adam', 0.01, 16, 100)
train_loss: 0.630530834197998, val_loss: 0.7417191863059998

('adam', 0.01, 32, 10)
train_loss: 0.6591678857803345, val_loss: 0.683862030506134

('adam', 0.01, 32, 50)
train_loss: 0.6387260556221008, val_loss: 0.7240690588951111

('adam', 0.01, 32, 100)
train_loss: 0.6265119910240173, val_loss: 0.7696985602378845

('adam', 0.01, 64, 10)
train_loss: 0.6606590151786804, val_loss: 0.6716267466545105

('adam', 0.01, 64, 50)
train_loss: 0.635735809803009, val_loss: 0.7127049565315247

('adam', 0.01, 64, 100)
train_loss: 0.6275597810745239, val_loss: 0.744172990322113

('adam', 0.1, 8, 10)
train_loss: 0.6244372129440308, val_loss: 0.8117843270301819

('adam', 0.1, 8, 50)
train_loss: 0.6229673027992249, val_loss: 0.7813076376914978

('adam', 0.1, 8, 100)
train_loss: 0.6261743307113647, val_loss: 0.760825514793396

('adam', 0.1, 16, 10)
train_loss: 0.6310657858848572, val_loss: 0.7473987936973572

('adam', 0.1, 16, 50)
train_loss: 0.6218379139900208, val_loss: 0.7951011657714844

('adam', 0.1, 16, 100)
train_loss: 0.6217560768127441, val_loss: 0.7915807366371155

('adam', 0.1, 32, 10)
train_loss: 0.6366578340530396, val_loss: 0.8300355076789856

('adam', 0.1, 32, 50)
train_loss: 0.6207338571548462, val_loss: 0.7868252992630005

('adam', 0.1, 32, 100)
train_loss: 0.6221528649330139, val_loss: 0.807586669921875

('adam', 0.1, 64, 10)
train_loss: 0.6234215497970581, val_loss: 0.7856047749519348

('adam', 0.1, 64, 50)
train_loss: 0.6216320395469666, val_loss: 0.8015584945678711

('adam', 0.1, 64, 100)
train_loss: 0.6212647557258606, val_loss: 0.7987046241760254


---------
BEST MODEL
('adam', 0.001, 64, 10)
val_loss: 0.6680803298950195
---------

Run from 2023-04-05 16:09:35.688781
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.7035292387008667, val_loss: 0.717998206615448

('adam', 0.001, 8, 50)
train_loss: 0.6708077788352966, val_loss: 0.7103571891784668

('adam', 0.001, 8, 100)
train_loss: 0.6496577858924866, val_loss: 0.6851526498794556

('adam', 0.001, 16, 10)
train_loss: 0.6906110048294067, val_loss: 0.6954790353775024

('adam', 0.001, 16, 50)
train_loss: 0.66617351770401, val_loss: 0.68470299243927

('adam', 0.001, 16, 100)
train_loss: 0.6546180248260498, val_loss: 0.6942740082740784

('adam', 0.001, 32, 10)
train_loss: 0.7184061408042908, val_loss: 0.7313453555107117

('adam', 0.001, 32, 50)
train_loss: 0.6680371761322021, val_loss: 0.6797409653663635

('adam', 0.001, 32, 100)
train_loss: 0.6845836639404297, val_loss: 0.7208715081214905

('adam', 0.001, 64, 10)
train_loss: 0.6788689494132996, val_loss: 0.6762882471084595

('adam', 0.001, 64, 50)
train_loss: 0.7157055139541626, val_loss: 0.7353622317314148

('adam', 0.001, 64, 100)
train_loss: 0.6643294095993042, val_loss: 0.6773524880409241

('adam', 0.01, 8, 10)
train_loss: 0.6591047048568726, val_loss: 0.7211480736732483

('adam', 0.01, 8, 50)
train_loss: 0.6278507709503174, val_loss: 0.7484975457191467

('adam', 0.01, 8, 100)
train_loss: 0.6300386786460876, val_loss: 0.7448230385780334

('adam', 0.01, 16, 10)
train_loss: 0.653056800365448, val_loss: 0.6891905665397644

('adam', 0.01, 16, 50)
train_loss: 0.627156674861908, val_loss: 0.7462162375450134

('adam', 0.01, 16, 100)
train_loss: 0.629851758480072, val_loss: 0.7454055547714233

('adam', 0.01, 32, 10)
train_loss: 0.6643151640892029, val_loss: 0.693665087223053

('adam', 0.01, 32, 50)
train_loss: 0.6264822483062744, val_loss: 0.746073305606842

('adam', 0.01, 32, 100)
train_loss: 0.6306972503662109, val_loss: 0.7523444890975952

('adam', 0.01, 64, 10)
train_loss: 0.722790002822876, val_loss: 0.7542372941970825

('adam', 0.01, 64, 50)
train_loss: 0.6390950083732605, val_loss: 0.721496045589447

('adam', 0.01, 64, 100)
train_loss: 0.6275351047515869, val_loss: 0.7442252039909363

('adam', 0.1, 8, 10)
train_loss: 0.622472882270813, val_loss: 0.788120687007904

('adam', 0.1, 8, 50)
train_loss: 0.6224806308746338, val_loss: 0.7923313975334167

('adam', 0.1, 8, 100)
train_loss: 0.6204677820205688, val_loss: 0.7809044718742371

('adam', 0.1, 16, 10)
train_loss: 0.6273980736732483, val_loss: 0.7441064715385437

('adam', 0.1, 16, 50)
train_loss: 0.6219452619552612, val_loss: 0.7917557954788208

('adam', 0.1, 16, 100)
train_loss: 0.621559739112854, val_loss: 0.7901929020881653

('adam', 0.1, 32, 10)
train_loss: 0.6262926459312439, val_loss: 0.8106425404548645

('adam', 0.1, 32, 50)
train_loss: 0.6217005848884583, val_loss: 0.7864169478416443

('adam', 0.1, 32, 100)
train_loss: 0.6218682527542114, val_loss: 0.8158223032951355

('adam', 0.1, 64, 10)
