
Run from 2023-04-02 11:03:57.541682
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.01, 50, 100)
train_loss: 0.5263822674751282, val_loss: 0.9565995335578918

('adam', 0.01, 50, 200)
train_loss: 0.4851454794406891, val_loss: 0.8969130516052246

('adam', 0.01, 50, 300)
train_loss: 0.46878328919410706, val_loss: 0.8613947033882141

('adam', 0.01, 100, 100)
train_loss: 0.5250990390777588, val_loss: 0.9435809254646301

('adam', 0.01, 100, 200)
train_loss: 0.4902556538581848, val_loss: 0.897648811340332

('adam', 0.01, 100, 300)
train_loss: 0.4683397710323334, val_loss: 0.8601804375648499

('adam', 0.01, 200, 100)
train_loss: 0.5166848301887512, val_loss: 0.7834146618843079

('adam', 0.01, 200, 200)
train_loss: 0.4833786189556122, val_loss: 0.863152801990509

('adam', 0.01, 200, 300)
train_loss: 0.4621447026729584, val_loss: 0.8382695317268372

('adam', 0.1, 50, 100)
train_loss: 0.3789805471897125, val_loss: 0.6512631773948669

('adam', 0.1, 50, 200)
train_loss: 0.35512974858283997, val_loss: 0.5782116055488586

('adam', 0.1, 50, 300)
train_loss: 0.34392255544662476, val_loss: 0.541371762752533

('adam', 0.1, 100, 100)
train_loss: 0.3957952558994293, val_loss: 0.6922863125801086

('adam', 0.1, 100, 200)
train_loss: 0.3458453118801117, val_loss: 0.5497294664382935

('adam', 0.1, 100, 300)
train_loss: 0.3391591012477875, val_loss: 0.5240333676338196

('adam', 0.1, 200, 100)
train_loss: 0.3975006639957428, val_loss: 0.6955113410949707

('adam', 0.1, 200, 200)
train_loss: 0.3480846881866455, val_loss: 0.556683361530304

('adam', 0.1, 200, 300)
train_loss: 0.3414483368396759, val_loss: 0.5325837731361389

('adam', 0.2, 50, 100)
train_loss: 0.34397923946380615, val_loss: 0.5431106090545654

('adam', 0.2, 50, 200)
train_loss: 0.3384905755519867, val_loss: 0.5211098790168762

('adam', 0.2, 50, 300)
train_loss: 0.3331933915615082, val_loss: 0.49297451972961426

('adam', 0.2, 100, 100)
train_loss: 0.35818690061569214, val_loss: 0.5897842049598694

('adam', 0.2, 100, 200)
train_loss: 0.33443278074264526, val_loss: 0.5023881793022156

('adam', 0.2, 100, 300)
train_loss: 0.33426016569137573, val_loss: 0.5009229779243469

('adam', 0.2, 200, 100)
train_loss: 0.3442864418029785, val_loss: 0.5441127419471741

('adam', 0.2, 200, 200)
train_loss: 0.33371081948280334, val_loss: 0.4979022443294525

('adam', 0.2, 200, 300)
train_loss: 0.33298808336257935, val_loss: 0.49035516381263733


---------
BEST MODEL
('adam', 0.2, 200, 300)
val_loss: 0.49035516381263733
---------

Run from 2023-04-05 15:39:21.139202
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.6826082468032837, val_loss: 0.6910893321037292

('adam', 0.001, 8, 50)
train_loss: 0.5814634561538696, val_loss: 0.8620570302009583

('adam', 0.001, 8, 100)
train_loss: 0.5713546872138977, val_loss: 0.7538816928863525

('adam', 0.001, 16, 10)
train_loss: 0.7972133755683899, val_loss: 0.6554588079452515

('adam', 0.001, 16, 50)
train_loss: 0.7048300504684448, val_loss: 0.6583532691001892

('adam', 0.001, 16, 100)
train_loss: 0.700735330581665, val_loss: 0.6366714835166931

('adam', 0.001, 32, 10)
train_loss: 0.7022426128387451, val_loss: 0.6834335327148438

('adam', 0.001, 32, 50)
train_loss: 0.6009290814399719, val_loss: 0.8311904072761536

('adam', 0.001, 32, 100)
train_loss: 0.6162425875663757, val_loss: 0.7339535355567932

('adam', 0.001, 64, 10)
train_loss: 0.7271577715873718, val_loss: 0.6728509068489075

('adam', 0.001, 64, 50)
train_loss: 0.6007701754570007, val_loss: 0.8611030578613281

('adam', 0.001, 64, 100)
train_loss: 0.7711655497550964, val_loss: 0.6480832099914551

('adam', 0.01, 8, 10)
train_loss: 0.5649198889732361, val_loss: 0.8964594006538391

('adam', 0.01, 8, 50)
train_loss: 0.4746657907962799, val_loss: 0.8385424613952637

('adam', 0.01, 8, 100)
train_loss: 0.4664517343044281, val_loss: 0.8751060962677002

('adam', 0.01, 16, 10)
train_loss: 0.575063169002533, val_loss: 0.8417816758155823

('adam', 0.01, 16, 50)
train_loss: 0.4984451234340668, val_loss: 0.8235319256782532

('adam', 0.01, 16, 100)
train_loss: 0.4807266294956207, val_loss: 0.8827946186065674

('adam', 0.01, 32, 10)
train_loss: 0.587897777557373, val_loss: 0.8451361656188965

('adam', 0.01, 32, 50)
train_loss: 0.5236629843711853, val_loss: 0.7642688751220703

('adam', 0.01, 32, 100)
train_loss: 0.49644359946250916, val_loss: 0.8758732676506042

('adam', 0.01, 64, 10)
train_loss: 0.6007748246192932, val_loss: 0.8275909423828125

('adam', 0.01, 64, 50)
train_loss: 0.5636266469955444, val_loss: 0.7562735676765442

('adam', 0.01, 64, 100)
train_loss: 0.5178450345993042, val_loss: 0.7647258639335632

('adam', 0.1, 8, 10)
train_loss: 0.4759330153465271, val_loss: 0.9164726138114929

('adam', 0.1, 8, 50)
train_loss: 0.38039708137512207, val_loss: 0.6274349093437195

('adam', 0.1, 8, 100)
train_loss: 0.3504418432712555, val_loss: 0.5487808585166931

('adam', 0.1, 16, 10)
train_loss: 0.4860634505748749, val_loss: 1.0054386854171753

('adam', 0.1, 16, 50)
train_loss: 0.39926403760910034, val_loss: 0.7126337885856628

('adam', 0.1, 16, 100)
train_loss: 0.3613828420639038, val_loss: 0.5646912455558777

('adam', 0.1, 32, 10)
train_loss: 0.520599365234375, val_loss: 1.0001732110977173

('adam', 0.1, 32, 50)
train_loss: 0.42458051443099976, val_loss: 0.69480961561203

('adam', 0.1, 32, 100)
train_loss: 0.3874170780181885, val_loss: 0.6555166244506836

('adam', 0.1, 64, 10)
train_loss: 0.5265453457832336, val_loss: 1.034753680229187

('adam', 0.1, 64, 50)
train_loss: 0.44342097640037537, val_loss: 0.8088391423225403

('adam', 0.1, 64, 100)
train_loss: 0.379300981760025, val_loss: 0.6519505381584167


---------
BEST MODEL
('adam', 0.1, 8, 100)
val_loss: 0.5487808585166931
---------

Run from 2023-04-05 16:40:11.672258
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.7087462544441223, val_loss: 0.6744974255561829

('adam', 0.001, 8, 50)
train_loss: 0.58331698179245, val_loss: 0.8445600867271423

('adam', 0.001, 8, 100)
train_loss: 0.5664433240890503, val_loss: 0.7826288342475891

('adam', 0.001, 16, 10)
train_loss: 0.8293496966362, val_loss: 0.6550782322883606

('adam', 0.001, 16, 50)
train_loss: 0.6213061213493347, val_loss: 0.7410890460014343

('adam', 0.001, 16, 100)
train_loss: 0.5947220325469971, val_loss: 0.7505046725273132

('adam', 0.001, 32, 10)
train_loss: 0.6457949876785278, val_loss: 0.73936527967453

('adam', 0.001, 32, 50)
train_loss: 0.6779964566230774, val_loss: 0.6839022636413574

('adam', 0.001, 32, 100)
train_loss: 0.6530864834785461, val_loss: 0.6826273798942566

('adam', 0.001, 64, 10)
train_loss: 0.7309530377388, val_loss: 0.671374499797821

('adam', 0.001, 64, 50)
train_loss: 0.6930778622627258, val_loss: 0.6825739741325378

('adam', 0.001, 64, 100)
train_loss: 0.7854819297790527, val_loss: 0.6468151211738586

('adam', 0.01, 8, 10)
train_loss: 0.5833449363708496, val_loss: 0.7198954224586487

('adam', 0.01, 8, 50)
train_loss: 0.46986445784568787, val_loss: 0.811409056186676

('adam', 0.01, 8, 100)
train_loss: 0.47447600960731506, val_loss: 0.9011979103088379

('adam', 0.01, 16, 10)
train_loss: 0.5917697548866272, val_loss: 0.7714244723320007

('adam', 0.01, 16, 50)
train_loss: 0.5170657634735107, val_loss: 0.9694703221321106

('adam', 0.01, 16, 100)
train_loss: 0.4988502562046051, val_loss: 0.968070924282074

('adam', 0.01, 32, 10)
train_loss: 0.766632080078125, val_loss: 0.6361579298973083

('adam', 0.01, 32, 50)
train_loss: 0.5234258770942688, val_loss: 0.8473114967346191

('adam', 0.01, 32, 100)
train_loss: 0.5020807385444641, val_loss: 0.9510867595672607

('adam', 0.01, 64, 10)
train_loss: 0.6358649134635925, val_loss: 0.7320882678031921

('adam', 0.01, 64, 50)
train_loss: 0.5522306561470032, val_loss: 0.9451993107795715

('adam', 0.01, 64, 100)
train_loss: 0.5200136303901672, val_loss: 0.7430152893066406

('adam', 0.1, 8, 10)
train_loss: 0.4528276026248932, val_loss: 0.8721952438354492

('adam', 0.1, 8, 50)
train_loss: 0.37644538283348083, val_loss: 0.6137266755104065

('adam', 0.1, 8, 100)
train_loss: 0.3498792052268982, val_loss: 0.5459370613098145

('adam', 0.1, 16, 10)
train_loss: 0.468799889087677, val_loss: 0.9389159679412842

('adam', 0.1, 16, 50)
train_loss: 0.4044590890407562, val_loss: 0.7421949505805969

('adam', 0.1, 16, 100)
train_loss: 0.3644668757915497, val_loss: 0.6018745303153992

('adam', 0.1, 32, 10)
train_loss: 0.5120711326599121, val_loss: 1.0623925924301147

('adam', 0.1, 32, 50)
train_loss: 0.4167223870754242, val_loss: 0.7224817276000977

('adam', 0.1, 32, 100)
train_loss: 0.38394713401794434, val_loss: 0.6442827582359314

