
Run from 2023-04-02 10:51:38.427140
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.01, 50, 100)
train_loss: 0.6209757924079895, val_loss: 0.7115154266357422

('adam', 0.01, 50, 200)
train_loss: 0.6183210015296936, val_loss: 0.7487139105796814

('adam', 0.01, 50, 300)
train_loss: 0.615737795829773, val_loss: 0.7462196350097656

('adam', 0.01, 100, 100)
train_loss: 0.6222614645957947, val_loss: 0.7063701748847961

('adam', 0.01, 100, 200)
train_loss: 0.6162216663360596, val_loss: 0.7414826154708862

('adam', 0.01, 100, 300)
train_loss: 0.615737795829773, val_loss: 0.7462069392204285

('adam', 0.01, 200, 100)
train_loss: 0.625748872756958, val_loss: 0.7512741088867188

('adam', 0.01, 200, 200)
train_loss: 0.6173959374427795, val_loss: 0.7467092275619507

('adam', 0.01, 200, 300)
train_loss: 0.6157382130622864, val_loss: 0.7461211085319519

('adam', 0.1, 50, 100)
train_loss: 0.6157386302947998, val_loss: 0.7460037469863892

('adam', 0.1, 50, 200)
train_loss: 0.6157374382019043, val_loss: 0.7463787794113159

('adam', 0.1, 50, 300)
train_loss: 0.6157374382019043, val_loss: 0.7463771104812622

('adam', 0.1, 100, 100)
train_loss: 0.6157383918762207, val_loss: 0.7464532256126404

('adam', 0.1, 100, 200)
train_loss: 0.6157374382019043, val_loss: 0.7463794350624084

('adam', 0.1, 100, 300)
train_loss: 0.6157375574111938, val_loss: 0.746377170085907

('adam', 0.1, 200, 100)
train_loss: 0.6157397031784058, val_loss: 0.7472394108772278

('adam', 0.1, 200, 200)
train_loss: 0.6157375574111938, val_loss: 0.7463781237602234

('adam', 0.1, 200, 300)
train_loss: 0.6157374978065491, val_loss: 0.7463771104812622

('adam', 0.2, 50, 100)
train_loss: 0.6157376766204834, val_loss: 0.7466418147087097

('adam', 0.2, 50, 200)
train_loss: 0.6157375574111938, val_loss: 0.7463753819465637

('adam', 0.2, 50, 300)
train_loss: 0.6157375574111938, val_loss: 0.7463771104812622

('adam', 0.2, 100, 100)
train_loss: 0.6157376170158386, val_loss: 0.7468143105506897

('adam', 0.2, 100, 200)
train_loss: 0.6157374978065491, val_loss: 0.7463751435279846

('adam', 0.2, 100, 300)
train_loss: 0.6157374978065491, val_loss: 0.7463771104812622

('adam', 0.2, 200, 100)
train_loss: 0.6157379150390625, val_loss: 0.7465676069259644

('adam', 0.2, 200, 200)
train_loss: 0.6157374978065491, val_loss: 0.7463788390159607

('adam', 0.2, 200, 300)
train_loss: 0.6157374978065491, val_loss: 0.7463771104812622


---------
BEST MODEL
('adam', 0.01, 100, 100)
val_loss: 0.7063701748847961
---------

Run from 2023-04-05 15:13:29.431298
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.6836222410202026, val_loss: 0.7253630757331848

('adam', 0.001, 8, 50)
train_loss: 0.698157787322998, val_loss: 0.8244313597679138

('adam', 0.001, 8, 100)
train_loss: 0.6564117670059204, val_loss: 0.7385298013687134

('adam', 0.001, 16, 10)
train_loss: 0.6928192377090454, val_loss: 0.6858304142951965

('adam', 0.001, 16, 50)
train_loss: 0.675937831401825, val_loss: 0.7559418082237244

('adam', 0.001, 16, 100)
train_loss: 0.7087305784225464, val_loss: 0.6590105891227722

('adam', 0.001, 32, 10)
train_loss: 0.7144201397895813, val_loss: 0.6703673005104065

('adam', 0.001, 32, 50)
train_loss: 0.7194055914878845, val_loss: 0.6628569960594177

('adam', 0.001, 32, 100)
train_loss: 0.6960268616676331, val_loss: 0.6635659337043762

('adam', 0.001, 64, 10)
train_loss: 0.6912148594856262, val_loss: 0.7698345184326172

('adam', 0.001, 64, 50)
train_loss: 0.7240285873413086, val_loss: 0.6648927330970764

('adam', 0.001, 64, 100)
train_loss: 0.6732350587844849, val_loss: 0.7231383919715881

('adam', 0.01, 8, 10)
train_loss: 0.6795563101768494, val_loss: 0.6626093983650208

('adam', 0.01, 8, 50)
train_loss: 0.6197506785392761, val_loss: 0.7262367606163025

('adam', 0.01, 8, 100)
train_loss: 0.6277486681938171, val_loss: 0.774625837802887

('adam', 0.01, 16, 10)
train_loss: 0.6597706079483032, val_loss: 0.7099059820175171

('adam', 0.01, 16, 50)
train_loss: 0.6263582110404968, val_loss: 0.7514827847480774

('adam', 0.01, 16, 100)
train_loss: 0.6230520606040955, val_loss: 0.7532728314399719

('adam', 0.01, 32, 10)
train_loss: 0.6969406604766846, val_loss: 0.8323606848716736

('adam', 0.01, 32, 50)
train_loss: 0.6332807540893555, val_loss: 0.7518492937088013

('adam', 0.01, 32, 100)
train_loss: 0.6188692450523376, val_loss: 0.7521225810050964

('adam', 0.01, 64, 10)
train_loss: 0.693573534488678, val_loss: 0.6726396679878235

('adam', 0.01, 64, 50)
train_loss: 0.6375653147697449, val_loss: 0.7215592265129089

('adam', 0.01, 64, 100)
train_loss: 0.6222964525222778, val_loss: 0.7324044108390808

('adam', 0.1, 8, 10)
train_loss: 0.6238529086112976, val_loss: 0.7460174560546875

('adam', 0.1, 8, 50)
train_loss: 0.619249165058136, val_loss: 0.7698894143104553

('adam', 0.1, 8, 100)
train_loss: 0.6216537952423096, val_loss: 0.758595883846283

('adam', 0.1, 16, 10)
train_loss: 0.6208206415176392, val_loss: 0.7336961030960083

('adam', 0.1, 16, 50)
train_loss: 0.6194370985031128, val_loss: 0.728827953338623

('adam', 0.1, 16, 100)
train_loss: 0.6182863116264343, val_loss: 0.745895504951477

('adam', 0.1, 32, 10)
train_loss: 0.6346473097801208, val_loss: 0.7966750860214233

('adam', 0.1, 32, 50)
train_loss: 0.615734338760376, val_loss: 0.7622484564781189

('adam', 0.1, 32, 100)
train_loss: 0.6183097958564758, val_loss: 0.7182838320732117

('adam', 0.1, 64, 10)
train_loss: 0.6217257380485535, val_loss: 0.7767989039421082

('adam', 0.1, 64, 50)
train_loss: 0.6161389946937561, val_loss: 0.7566434741020203

('adam', 0.1, 64, 100)
train_loss: 0.615738034248352, val_loss: 0.7461785674095154


---------
BEST MODEL
('adam', 0.001, 16, 100)
val_loss: 0.6590105891227722
---------

Run from 2023-04-05 16:13:49.397856
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.7626917362213135, val_loss: 0.6646819710731506

('adam', 0.001, 8, 50)
train_loss: 0.6862847805023193, val_loss: 0.7922118902206421

('adam', 0.001, 8, 100)
train_loss: 0.6557198166847229, val_loss: 0.6764046549797058

('adam', 0.001, 16, 10)
train_loss: 0.7766284346580505, val_loss: 0.6668533086776733

('adam', 0.001, 16, 50)
train_loss: 0.6773484349250793, val_loss: 0.683650016784668

('adam', 0.001, 16, 100)
train_loss: 0.6718206405639648, val_loss: 0.773832380771637

('adam', 0.001, 32, 10)
train_loss: 0.7012506723403931, val_loss: 0.6784582138061523

('adam', 0.001, 32, 50)
train_loss: 0.6796405911445618, val_loss: 0.7540740966796875

('adam', 0.001, 32, 100)
train_loss: 0.6906916499137878, val_loss: 0.6649684309959412

('adam', 0.001, 64, 10)
train_loss: 0.7313809990882874, val_loss: 0.6665999293327332

('adam', 0.001, 64, 50)
train_loss: 0.6919195652008057, val_loss: 0.7914147973060608

('adam', 0.001, 64, 100)
train_loss: 0.6858196258544922, val_loss: 0.6781440377235413

('adam', 0.01, 8, 10)
train_loss: 0.6579321622848511, val_loss: 0.7416181564331055

('adam', 0.01, 8, 50)
train_loss: 0.6252633333206177, val_loss: 0.752173900604248

('adam', 0.01, 8, 100)
train_loss: 0.616096556186676, val_loss: 0.7420802712440491

('adam', 0.01, 16, 10)
train_loss: 0.6786147952079773, val_loss: 0.8095885515213013

('adam', 0.01, 16, 50)
train_loss: 0.6219556927680969, val_loss: 0.7452031373977661

('adam', 0.01, 16, 100)
train_loss: 0.6194415092468262, val_loss: 0.7473800778388977

('adam', 0.01, 32, 10)
train_loss: 0.6669721603393555, val_loss: 0.7078297734260559

('adam', 0.01, 32, 50)
train_loss: 0.62913978099823, val_loss: 0.7532727122306824

('adam', 0.01, 32, 100)
train_loss: 0.6209546327590942, val_loss: 0.7454206347465515

('adam', 0.01, 64, 10)
train_loss: 0.6853430867195129, val_loss: 0.6805320978164673

('adam', 0.01, 64, 50)
train_loss: 0.6532877683639526, val_loss: 0.6715647578239441

('adam', 0.01, 64, 100)
train_loss: 0.6208270788192749, val_loss: 0.7305429577827454

('adam', 0.1, 8, 10)
train_loss: 0.6322303414344788, val_loss: 0.800442099571228

('adam', 0.1, 8, 50)
train_loss: 0.6249319314956665, val_loss: 0.7982197999954224

('adam', 0.1, 8, 100)
train_loss: 0.6184710264205933, val_loss: 0.7923051118850708

('adam', 0.1, 16, 10)
train_loss: 0.618318498134613, val_loss: 0.7535837292671204

('adam', 0.1, 16, 50)
train_loss: 0.6165300011634827, val_loss: 0.7368006110191345

('adam', 0.1, 16, 100)
train_loss: 0.6180153489112854, val_loss: 0.7457658052444458

('adam', 0.1, 32, 10)
train_loss: 0.6292644143104553, val_loss: 0.813568651676178

('adam', 0.1, 32, 50)
train_loss: 0.6169406175613403, val_loss: 0.7309021949768066

('adam', 0.1, 32, 100)
train_loss: 0.6162077784538269, val_loss: 0.7379304766654968

