
Run from 2023-04-02 10:53:43.282903
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.01, 50, 100)
train_loss: 0.6933166980743408, val_loss: 0.6947740912437439

('adam', 0.01, 50, 200)
train_loss: 0.6899277567863464, val_loss: 0.6918802261352539

('adam', 0.01, 50, 300)
train_loss: 0.6792169213294983, val_loss: 0.68589186668396

('adam', 0.01, 100, 100)
train_loss: 0.691505491733551, val_loss: 0.6931798458099365

('adam', 0.01, 100, 200)
train_loss: 0.6912267208099365, val_loss: 0.6929477453231812

('adam', 0.01, 100, 300)
train_loss: 0.6770294308662415, val_loss: 0.6855117082595825

('adam', 0.01, 200, 100)
train_loss: 0.6909951567649841, val_loss: 0.6927489042282104

('adam', 0.01, 200, 200)
train_loss: 0.688906192779541, val_loss: 0.6910826563835144

('adam', 0.01, 200, 300)
train_loss: 0.6797498464584351, val_loss: 0.6860389709472656

('adam', 0.1, 50, 100)
train_loss: 0.6685663461685181, val_loss: 0.689258873462677

('adam', 0.1, 50, 200)
train_loss: 0.6629936099052429, val_loss: 0.7049592137336731

('adam', 0.1, 50, 300)
train_loss: 0.6623293161392212, val_loss: 0.7147183418273926

('adam', 0.1, 100, 100)
train_loss: 0.6695801019668579, val_loss: 0.6881798505783081

('adam', 0.1, 100, 200)
train_loss: 0.6635450720787048, val_loss: 0.7015194892883301

('adam', 0.1, 100, 300)
train_loss: 0.6624019145965576, val_loss: 0.7120711803436279

('adam', 0.1, 200, 100)
train_loss: 0.6674917340278625, val_loss: 0.6907122135162354

('adam', 0.1, 200, 200)
train_loss: 0.6626845598220825, val_loss: 0.7077503204345703

('adam', 0.1, 200, 300)
train_loss: 0.6623638272285461, val_loss: 0.7131557464599609

('adam', 0.2, 50, 100)
train_loss: 0.6628151535987854, val_loss: 0.7065827250480652

('adam', 0.2, 50, 200)
train_loss: 0.6623201966285706, val_loss: 0.715580403804779

('adam', 0.2, 50, 300)
train_loss: 0.6623175144195557, val_loss: 0.7163357138633728

('adam', 0.2, 100, 100)
train_loss: 0.6624894738197327, val_loss: 0.7104518413543701

('adam', 0.2, 100, 200)
train_loss: 0.6623175740242004, val_loss: 0.7162244319915771

('adam', 0.2, 100, 300)
train_loss: 0.6623175740242004, val_loss: 0.7163355350494385

('adam', 0.2, 200, 100)
train_loss: 0.662503182888031, val_loss: 0.7102304100990295

('adam', 0.2, 200, 200)
train_loss: 0.6623186469078064, val_loss: 0.7158592343330383

('adam', 0.2, 200, 300)
train_loss: 0.6623175144195557, val_loss: 0.7163354158401489


---------
BEST MODEL
('adam', 0.01, 100, 300)
val_loss: 0.6855117082595825
---------

Run from 2023-04-05 15:17:53.165102
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.6887403130531311, val_loss: 0.689352810382843

('adam', 0.001, 8, 50)
train_loss: 0.6875967383384705, val_loss: 0.6889276504516602

('adam', 0.001, 8, 100)
train_loss: 0.6986920833587646, val_loss: 0.6992390155792236

('adam', 0.001, 16, 10)
train_loss: 0.695008397102356, val_loss: 0.6952712535858154

('adam', 0.001, 16, 50)
train_loss: 0.6900945901870728, val_loss: 0.6906739473342896

('adam', 0.001, 16, 100)
train_loss: 0.693868100643158, val_loss: 0.6947962045669556

('adam', 0.001, 32, 10)
train_loss: 0.699374258518219, val_loss: 0.7005549669265747

('adam', 0.001, 32, 50)
train_loss: 0.6916050910949707, val_loss: 0.692000150680542

('adam', 0.001, 32, 100)
train_loss: 0.6920673251152039, val_loss: 0.6928683519363403

('adam', 0.001, 64, 10)
train_loss: 0.6953315138816833, val_loss: 0.6957962512969971

('adam', 0.001, 64, 50)
train_loss: 0.6923367977142334, val_loss: 0.6932217478752136

('adam', 0.001, 64, 100)
train_loss: 0.6936643719673157, val_loss: 0.6950576305389404

('adam', 0.01, 8, 10)
train_loss: 0.6919052004814148, val_loss: 0.6922208666801453

('adam', 0.01, 8, 50)
train_loss: 0.6851630210876465, val_loss: 0.6877203583717346

('adam', 0.01, 8, 100)
train_loss: 0.6810255646705627, val_loss: 0.6858893036842346

('adam', 0.01, 16, 10)
train_loss: 0.693306565284729, val_loss: 0.6945239901542664

('adam', 0.01, 16, 50)
train_loss: 0.6858141422271729, val_loss: 0.6896229386329651

('adam', 0.01, 16, 100)
train_loss: 0.6909114122390747, val_loss: 0.6908489465713501

('adam', 0.01, 32, 10)
train_loss: 0.687420129776001, val_loss: 0.6898621916770935

('adam', 0.01, 32, 50)
train_loss: 0.6901800036430359, val_loss: 0.6921117305755615

('adam', 0.01, 32, 100)
train_loss: 0.6820434331893921, val_loss: 0.6867358684539795

('adam', 0.01, 64, 10)
train_loss: 0.6988996863365173, val_loss: 0.700141429901123

('adam', 0.01, 64, 50)
train_loss: 0.6846630573272705, val_loss: 0.6880703568458557

('adam', 0.01, 64, 100)
train_loss: 0.6877157688140869, val_loss: 0.6901887655258179

('adam', 0.1, 8, 10)
train_loss: 0.6902800798416138, val_loss: 0.6904217004776001

('adam', 0.1, 8, 50)
train_loss: 0.6783698797225952, val_loss: 0.6880364418029785

('adam', 0.1, 8, 100)
train_loss: 0.6634148955345154, val_loss: 0.7018536329269409

('adam', 0.1, 16, 10)
train_loss: 0.6908315420150757, val_loss: 0.6912321448326111

('adam', 0.1, 16, 50)
train_loss: 0.6749143004417419, val_loss: 0.6855787634849548

('adam', 0.1, 16, 100)
train_loss: 0.6746633648872375, val_loss: 0.6945052742958069

('adam', 0.1, 32, 10)
train_loss: 0.6918704509735107, val_loss: 0.694164514541626

('adam', 0.1, 32, 50)
train_loss: 0.6742876172065735, val_loss: 0.6859543323516846

('adam', 0.1, 32, 100)
train_loss: 0.6674516201019287, val_loss: 0.694267213344574

('adam', 0.1, 64, 10)
train_loss: 0.695773720741272, val_loss: 0.6973360180854797

('adam', 0.1, 64, 50)
train_loss: 0.6735357642173767, val_loss: 0.685903787612915

('adam', 0.1, 64, 100)
train_loss: 0.666608989238739, val_loss: 0.6922129392623901


---------
BEST MODEL
('adam', 0.1, 16, 50)
val_loss: 0.6855787634849548
---------

Run from 2023-04-05 16:17:51.060320
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.6921522617340088, val_loss: 0.6923900842666626

('adam', 0.001, 8, 50)
train_loss: 0.6886928081512451, val_loss: 0.6895822286605835

('adam', 0.001, 8, 100)
train_loss: 0.6920398473739624, val_loss: 0.6927773952484131

('adam', 0.001, 16, 10)
train_loss: 0.6967204213142395, val_loss: 0.6972808837890625

('adam', 0.001, 16, 50)
train_loss: 0.6920230984687805, val_loss: 0.692272424697876

('adam', 0.001, 16, 100)
train_loss: 0.6944765448570251, val_loss: 0.6953787803649902

('adam', 0.001, 32, 10)
train_loss: 0.6935076713562012, val_loss: 0.6936495304107666

('adam', 0.001, 32, 50)
train_loss: 0.6906514763832092, val_loss: 0.6912482380867004

('adam', 0.001, 32, 100)
train_loss: 0.6945857405662537, val_loss: 0.6953716278076172

('adam', 0.001, 64, 10)
train_loss: 0.6910479068756104, val_loss: 0.6912054419517517

('adam', 0.001, 64, 50)
train_loss: 0.6917489767074585, val_loss: 0.6926083564758301

('adam', 0.001, 64, 100)
train_loss: 0.6912302374839783, val_loss: 0.6926592588424683

('adam', 0.01, 8, 10)
train_loss: 0.6857821941375732, val_loss: 0.6881694793701172

('adam', 0.01, 8, 50)
train_loss: 0.6878904104232788, val_loss: 0.6901280879974365

('adam', 0.01, 8, 100)
train_loss: 0.686537504196167, val_loss: 0.6884828805923462

('adam', 0.01, 16, 10)
train_loss: 0.6935144662857056, val_loss: 0.6938672661781311

('adam', 0.01, 16, 50)
train_loss: 0.6943462491035461, val_loss: 0.6962734460830688

('adam', 0.01, 16, 100)
train_loss: 0.6894272565841675, val_loss: 0.6911892890930176

('adam', 0.01, 32, 10)
train_loss: 0.69102942943573, val_loss: 0.692247211933136

('adam', 0.01, 32, 50)
train_loss: 0.6854498386383057, val_loss: 0.6885683536529541

('adam', 0.01, 32, 100)
train_loss: 0.6835978627204895, val_loss: 0.6874426603317261

('adam', 0.01, 64, 10)
train_loss: 0.6951285600662231, val_loss: 0.6968733072280884

('adam', 0.01, 64, 50)
train_loss: 0.6856864094734192, val_loss: 0.688681960105896

('adam', 0.01, 64, 100)
train_loss: 0.683551013469696, val_loss: 0.687595009803772

('adam', 0.1, 8, 10)
train_loss: 0.6846608519554138, val_loss: 0.6879764199256897

('adam', 0.1, 8, 50)
train_loss: 0.6720491647720337, val_loss: 0.6917401552200317

('adam', 0.1, 8, 100)
train_loss: 0.6651101112365723, val_loss: 0.6990877985954285

('adam', 0.1, 16, 10)
train_loss: 0.685894250869751, val_loss: 0.6897262334823608

('adam', 0.1, 16, 50)
train_loss: 0.6868613958358765, val_loss: 0.6950477957725525

('adam', 0.1, 16, 100)
train_loss: 0.6730747222900391, val_loss: 0.6978203058242798

('adam', 0.1, 32, 10)
train_loss: 0.6893433332443237, val_loss: 0.6917487382888794

('adam', 0.1, 32, 50)
train_loss: 0.6733881235122681, val_loss: 0.6858717203140259

('adam', 0.1, 32, 100)
train_loss: 0.6688028573989868, val_loss: 0.6904404163360596

('adam', 0.1, 64, 10)
