
Run from 2023-04-02 11:07:51.923878
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.01, 50, 100)
train_loss: 0.6977338790893555, val_loss: 0.6986410617828369

('adam', 0.01, 50, 200)
train_loss: 0.6995610594749451, val_loss: 0.6975870132446289

('adam', 0.01, 50, 300)
train_loss: 0.6435174345970154, val_loss: 0.6636559963226318

('adam', 0.01, 100, 100)
train_loss: 0.644364595413208, val_loss: 0.6651291251182556

('adam', 0.01, 100, 200)
train_loss: 0.7023705840110779, val_loss: 0.7012718915939331

('adam', 0.01, 100, 300)
train_loss: 0.5814379453659058, val_loss: 0.6371710896492004

('adam', 0.01, 200, 100)
train_loss: 0.6327714323997498, val_loss: 0.6619626879692078

('adam', 0.01, 200, 200)
train_loss: 0.6055222749710083, val_loss: 0.6462444067001343

('adam', 0.01, 200, 300)
train_loss: 0.6859411001205444, val_loss: 0.6906826496124268

('adam', 0.1, 50, 100)
train_loss: 0.5903254151344299, val_loss: 0.6513880491256714

('adam', 0.1, 50, 200)
train_loss: 0.5454580783843994, val_loss: 0.652981162071228

('adam', 0.1, 50, 300)
train_loss: 0.5208355188369751, val_loss: 0.6197494268417358

('adam', 0.1, 100, 100)
train_loss: 0.5580489039421082, val_loss: 0.6291362047195435

('adam', 0.1, 100, 200)
train_loss: 0.4850724935531616, val_loss: 0.6506658792495728

('adam', 0.1, 100, 300)
train_loss: 0.47549915313720703, val_loss: 0.6813781261444092

('adam', 0.1, 200, 100)
train_loss: 0.5147457122802734, val_loss: 0.6267491579055786

('adam', 0.1, 200, 200)
train_loss: 0.48878252506256104, val_loss: 0.6450572609901428

('adam', 0.1, 200, 300)
train_loss: 0.47492969036102295, val_loss: 0.6858170628547668

('adam', 0.2, 50, 100)
train_loss: 0.5506681203842163, val_loss: 0.6199219822883606

('adam', 0.2, 50, 200)
train_loss: 0.508474588394165, val_loss: 0.6622951030731201

('adam', 0.2, 50, 300)
train_loss: 0.499062716960907, val_loss: 0.7168828248977661

('adam', 0.2, 100, 100)
train_loss: 0.48109811544418335, val_loss: 0.6595951318740845

('adam', 0.2, 100, 200)
train_loss: 0.4738958477973938, val_loss: 0.7002784013748169

('adam', 0.2, 100, 300)
train_loss: 0.4738588035106659, val_loss: 0.7014623880386353

('adam', 0.2, 200, 100)
train_loss: 0.49459949135780334, val_loss: 0.6392329931259155

('adam', 0.2, 200, 200)
train_loss: 0.4738767445087433, val_loss: 0.7008549571037292

('adam', 0.2, 200, 300)
train_loss: 0.47376468777656555, val_loss: 0.7073819637298584


---------
BEST MODEL
('adam', 0.1, 50, 300)
val_loss: 0.6197494268417358
---------

Run from 2023-04-05 16:47:52.638970
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.7099580764770508, val_loss: 0.7035363912582397

('adam', 0.001, 8, 50)
train_loss: 0.6708102822303772, val_loss: 0.6851726770401001

('adam', 0.001, 8, 100)
train_loss: 0.6637423634529114, val_loss: 0.6799132823944092

('adam', 0.001, 16, 10)
train_loss: 0.6736789345741272, val_loss: 0.7007622122764587

('adam', 0.001, 16, 50)
train_loss: 0.6877782344818115, val_loss: 0.6908937692642212

('adam', 0.001, 16, 100)
train_loss: 0.6595006585121155, val_loss: 0.6842092871665955

('adam', 0.001, 32, 10)
train_loss: 0.677619993686676, val_loss: 0.7114651799201965

('adam', 0.001, 32, 50)
train_loss: 0.6707096099853516, val_loss: 0.7034165859222412

('adam', 0.001, 32, 100)
train_loss: 0.7581450939178467, val_loss: 0.7411125898361206

('adam', 0.001, 64, 10)
train_loss: 0.6767854690551758, val_loss: 0.708336353302002

('adam', 0.001, 64, 50)
train_loss: 0.6744142770767212, val_loss: 0.6860263347625732

('adam', 0.001, 64, 100)
train_loss: 0.7578821778297424, val_loss: 0.7412285804748535

('adam', 0.01, 8, 10)
train_loss: 0.6736441850662231, val_loss: 0.6847817897796631

('adam', 0.01, 8, 50)
train_loss: 0.63468337059021, val_loss: 0.663637638092041

('adam', 0.01, 8, 100)
train_loss: 0.6177084445953369, val_loss: 0.652087926864624

('adam', 0.01, 16, 10)
train_loss: 0.6706224083900452, val_loss: 0.6828233003616333

('adam', 0.01, 16, 50)
train_loss: 0.6674817204475403, val_loss: 0.6806792616844177

('adam', 0.01, 16, 100)
train_loss: 0.6397994756698608, val_loss: 0.6665297150611877

('adam', 0.01, 32, 10)
train_loss: 0.6641966700553894, val_loss: 0.6890974044799805

('adam', 0.01, 32, 50)
train_loss: 0.6481050252914429, val_loss: 0.6695842742919922

('adam', 0.01, 32, 100)
train_loss: 0.6324385404586792, val_loss: 0.6616160869598389

('adam', 0.01, 64, 10)
train_loss: 0.7849765419960022, val_loss: 0.7628713846206665

('adam', 0.01, 64, 50)
train_loss: 0.6892737150192261, val_loss: 0.6922597289085388

('adam', 0.01, 64, 100)
train_loss: 0.6300844550132751, val_loss: 0.6590480804443359

('adam', 0.1, 8, 10)
train_loss: 0.65584397315979, val_loss: 0.6624054312705994

('adam', 0.1, 8, 50)
train_loss: 0.5354439616203308, val_loss: 0.6251909732818604

('adam', 0.1, 8, 100)
train_loss: 0.4828805923461914, val_loss: 0.640519917011261

('adam', 0.1, 16, 10)
train_loss: 0.686922013759613, val_loss: 0.6894186735153198

('adam', 0.1, 16, 50)
train_loss: 0.5571685433387756, val_loss: 0.6247161626815796

('adam', 0.1, 16, 100)
train_loss: 0.5076935291290283, val_loss: 0.6191527247428894

('adam', 0.1, 32, 10)
train_loss: 0.6581743955612183, val_loss: 0.6754187345504761

('adam', 0.1, 32, 50)
train_loss: 0.5906563997268677, val_loss: 0.6379507780075073

('adam', 0.1, 32, 100)
train_loss: 0.5072288513183594, val_loss: 0.6292763352394104

('adam', 0.1, 64, 10)
train_loss: 0.707817792892456, val_loss: 0.7099599242210388

('adam', 0.1, 64, 50)
train_loss: 0.5963706374168396, val_loss: 0.6416810750961304

('adam', 0.1, 64, 100)
train_loss: 0.5124679803848267, val_loss: 0.6259775161743164


---------
BEST MODEL
('adam', 0.1, 16, 100)
val_loss: 0.6191527247428894
---------

Run from 2023-04-10 10:33:45.093962
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.6961126923561096, val_loss: 0.6948360204696655

('adam', 0.001, 8, 50)
train_loss: 0.6835982203483582, val_loss: 0.688728928565979

('adam', 0.001, 8, 100)
train_loss: 0.6932504177093506, val_loss: 0.694467306137085

('adam', 0.001, 16, 10)
train_loss: 0.6723899841308594, val_loss: 0.6958865523338318

('adam', 0.001, 16, 50)
train_loss: 0.6756718754768372, val_loss: 0.6863815784454346

('adam', 0.001, 16, 100)
train_loss: 0.6730452179908752, val_loss: 0.6847197413444519

('adam', 0.001, 32, 10)
train_loss: 0.6928361654281616, val_loss: 0.6929609775543213

('adam', 0.001, 32, 50)
train_loss: 0.6682997941970825, val_loss: 0.6941819190979004

('adam', 0.001, 32, 100)
train_loss: 0.7228049039840698, val_loss: 0.7130358219146729

('adam', 0.001, 64, 10)
train_loss: 0.6751533150672913, val_loss: 0.7038102746009827

('adam', 0.001, 64, 50)
train_loss: 0.7125967741012573, val_loss: 0.7056668996810913

('adam', 0.001, 64, 100)
train_loss: 0.6678371429443359, val_loss: 0.6971210241317749

('adam', 0.01, 8, 10)
train_loss: 0.6660153269767761, val_loss: 0.6800938844680786

('adam', 0.01, 8, 50)
train_loss: 0.6836513876914978, val_loss: 0.6899533867835999

('adam', 0.01, 8, 100)
train_loss: 0.6103975772857666, val_loss: 0.6495249271392822

('adam', 0.01, 16, 10)
train_loss: 0.6992882490158081, val_loss: 0.6971490979194641

('adam', 0.01, 16, 50)
train_loss: 0.6611875891685486, val_loss: 0.6757959127426147

('adam', 0.01, 16, 100)
train_loss: 0.6731259226799011, val_loss: 0.6827466487884521

('adam', 0.01, 32, 10)
train_loss: 0.7736542224884033, val_loss: 0.7525079250335693

('adam', 0.01, 32, 50)
train_loss: 0.6594676971435547, val_loss: 0.6755070686340332

('adam', 0.01, 32, 100)
train_loss: 0.708512544631958, val_loss: 0.7056474089622498

('adam', 0.01, 64, 10)
train_loss: 0.6681751608848572, val_loss: 0.6856223344802856

('adam', 0.01, 64, 50)
train_loss: 0.7012408375740051, val_loss: 0.7009249925613403

('adam', 0.01, 64, 100)
train_loss: 0.6962074637413025, val_loss: 0.6970044374465942

('adam', 0.1, 8, 10)
train_loss: 0.656825602054596, val_loss: 0.6664913892745972

('adam', 0.1, 8, 50)
train_loss: 0.5097842812538147, val_loss: 0.632333517074585

('adam', 0.1, 8, 100)
train_loss: 0.4899951219558716, val_loss: 0.6389267444610596

('adam', 0.1, 16, 10)
train_loss: 0.6237408518791199, val_loss: 0.6576089859008789

('adam', 0.1, 16, 50)
train_loss: 0.5651981234550476, val_loss: 0.6677793264389038

('adam', 0.1, 16, 100)
train_loss: 0.5078815817832947, val_loss: 0.6261028051376343

('adam', 0.1, 32, 10)
train_loss: 0.7011193633079529, val_loss: 0.7012947797775269

('adam', 0.1, 32, 50)
train_loss: 0.5542249083518982, val_loss: 0.6291829347610474

('adam', 0.1, 32, 100)
train_loss: 0.5116572976112366, val_loss: 0.6257513761520386

