
Run from 2023-04-02 10:57:52.385381
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.01, 50, 100)
train_loss: 0.6921173930168152, val_loss: 0.6974010467529297

('adam', 0.01, 50, 200)
train_loss: 0.6921244263648987, val_loss: 0.7007673382759094

('adam', 0.01, 50, 300)
train_loss: 0.6920937299728394, val_loss: 0.6989232897758484

('adam', 0.01, 100, 100)
train_loss: 0.6922105550765991, val_loss: 0.6955645084381104

('adam', 0.01, 100, 200)
train_loss: 0.6920937299728394, val_loss: 0.6989189982414246

('adam', 0.01, 100, 300)
train_loss: 0.6920937299728394, val_loss: 0.6989190578460693

('adam', 0.01, 200, 100)
train_loss: 0.6943498253822327, val_loss: 0.7171592116355896

('adam', 0.01, 200, 200)
train_loss: 0.6920937299728394, val_loss: 0.6989192962646484

('adam', 0.01, 200, 300)
train_loss: 0.6920937299728394, val_loss: 0.6989191174507141

('adam', 0.1, 50, 100)
train_loss: 0.6920943260192871, val_loss: 0.69866943359375

('adam', 0.1, 50, 200)
train_loss: 0.6920937895774841, val_loss: 0.6989195346832275

('adam', 0.1, 50, 300)
train_loss: 0.6920937299728394, val_loss: 0.6989190578460693

('adam', 0.1, 100, 100)
train_loss: 0.6920937299728394, val_loss: 0.6989137530326843

('adam', 0.1, 100, 200)
train_loss: 0.6920937299728394, val_loss: 0.6989187598228455

('adam', 0.1, 100, 300)
train_loss: 0.6920937299728394, val_loss: 0.6989190578460693

('adam', 0.1, 200, 100)
train_loss: 0.6920937299728394, val_loss: 0.6988881826400757

('adam', 0.1, 200, 200)
train_loss: 0.6920937299728394, val_loss: 0.6989201903343201

('adam', 0.1, 200, 300)
train_loss: 0.6920937299728394, val_loss: 0.6989191174507141

('adam', 0.2, 50, 100)
train_loss: 0.6920939683914185, val_loss: 0.6990096569061279

('adam', 0.2, 50, 200)
train_loss: 0.6920937895774841, val_loss: 0.6989178657531738

('adam', 0.2, 50, 300)
train_loss: 0.6920937895774841, val_loss: 0.6989190578460693

('adam', 0.2, 100, 100)
train_loss: 0.692094087600708, val_loss: 0.6987870931625366

('adam', 0.2, 100, 200)
train_loss: 0.6920937299728394, val_loss: 0.6989177465438843

('adam', 0.2, 100, 300)
train_loss: 0.6920937299728394, val_loss: 0.6989190578460693

('adam', 0.2, 200, 100)
train_loss: 0.692094087600708, val_loss: 0.6990777254104614

('adam', 0.2, 200, 200)
train_loss: 0.6920937895774841, val_loss: 0.6989198923110962

('adam', 0.2, 200, 300)
train_loss: 0.6920937299728394, val_loss: 0.6989190578460693


---------
BEST MODEL
('adam', 0.01, 100, 100)
val_loss: 0.6955645084381104
---------

Run from 2023-04-05 15:26:35.089895
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.7178497910499573, val_loss: 0.682745099067688

('adam', 0.001, 8, 50)
train_loss: 0.6949533820152283, val_loss: 0.7110605239868164

('adam', 0.001, 8, 100)
train_loss: 0.6932488083839417, val_loss: 0.6890258193016052

('adam', 0.001, 16, 10)
train_loss: 0.6931793689727783, val_loss: 0.6959428787231445

('adam', 0.001, 16, 50)
train_loss: 0.6935572028160095, val_loss: 0.6877561807632446

('adam', 0.001, 16, 100)
train_loss: 0.7049227952957153, val_loss: 0.7402780055999756

('adam', 0.001, 32, 10)
train_loss: 0.7208551168441772, val_loss: 0.7654416561126709

('adam', 0.001, 32, 50)
train_loss: 0.6932029724121094, val_loss: 0.7017080783843994

('adam', 0.001, 32, 100)
train_loss: 0.6938042640686035, val_loss: 0.7083253264427185

('adam', 0.001, 64, 10)
train_loss: 0.7208976149559021, val_loss: 0.7649804949760437

('adam', 0.001, 64, 50)
train_loss: 0.6938379406929016, val_loss: 0.687125563621521

('adam', 0.001, 64, 100)
train_loss: 0.7063470482826233, val_loss: 0.677111804485321

('adam', 0.01, 8, 10)
train_loss: 0.6927346587181091, val_loss: 0.7030081748962402

('adam', 0.01, 8, 50)
train_loss: 0.6947675943374634, val_loss: 0.7177557945251465

('adam', 0.01, 8, 100)
train_loss: 0.6923115253448486, val_loss: 0.698161244392395

('adam', 0.01, 16, 10)
train_loss: 0.7040026783943176, val_loss: 0.6780816912651062

('adam', 0.01, 16, 50)
train_loss: 0.6989986896514893, val_loss: 0.6798003315925598

('adam', 0.01, 16, 100)
train_loss: 0.6933416724205017, val_loss: 0.689697265625

('adam', 0.01, 32, 10)
train_loss: 0.7177462577819824, val_loss: 0.6777955293655396

('adam', 0.01, 32, 50)
train_loss: 0.6924377679824829, val_loss: 0.6952922940254211

('adam', 0.01, 32, 100)
train_loss: 0.6921528577804565, val_loss: 0.7018047571182251

('adam', 0.01, 64, 10)
train_loss: 0.7099335193634033, val_loss: 0.7490501999855042

('adam', 0.01, 64, 50)
train_loss: 0.6923768520355225, val_loss: 0.7047106027603149

('adam', 0.01, 64, 100)
train_loss: 0.694617748260498, val_loss: 0.6852686405181885

('adam', 0.1, 8, 10)
train_loss: 0.6946967244148254, val_loss: 0.7018144130706787

('adam', 0.1, 8, 50)
train_loss: 0.6956120133399963, val_loss: 0.7012362480163574

('adam', 0.1, 8, 100)
train_loss: 0.6925225853919983, val_loss: 0.6938351392745972

('adam', 0.1, 16, 10)
train_loss: 0.6931901574134827, val_loss: 0.7020581364631653

('adam', 0.1, 16, 50)
train_loss: 0.6958032846450806, val_loss: 0.7098255157470703

('adam', 0.1, 16, 100)
train_loss: 0.7027762532234192, val_loss: 0.7026931047439575

('adam', 0.1, 32, 10)
train_loss: 0.6925010681152344, val_loss: 0.7009420394897461

('adam', 0.1, 32, 50)
train_loss: 0.6921571493148804, val_loss: 0.6989288926124573

('adam', 0.1, 32, 100)
train_loss: 0.693021833896637, val_loss: 0.69637131690979

('adam', 0.1, 64, 10)
train_loss: 0.6978598833084106, val_loss: 0.6824183464050293

('adam', 0.1, 64, 50)
train_loss: 0.692131757736206, val_loss: 0.7010225057601929

('adam', 0.1, 64, 100)
train_loss: 0.6920937299728394, val_loss: 0.698962926864624


---------
BEST MODEL
('adam', 0.001, 64, 100)
val_loss: 0.677111804485321
---------

Run from 2023-04-05 16:27:18.814575
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.717755913734436, val_loss: 0.7600765228271484

('adam', 0.001, 8, 50)
train_loss: 0.7054240703582764, val_loss: 0.6781477928161621

('adam', 0.001, 8, 100)
train_loss: 0.6932996511459351, val_loss: 0.708012044429779

('adam', 0.001, 16, 10)
train_loss: 0.6931207180023193, val_loss: 0.696692705154419

('adam', 0.001, 16, 50)
train_loss: 0.6948541402816772, val_loss: 0.6844120025634766

('adam', 0.001, 16, 100)
train_loss: 0.7112323641777039, val_loss: 0.7564305067062378

('adam', 0.001, 32, 10)
train_loss: 0.6943662762641907, val_loss: 0.7026668190956116

('adam', 0.001, 32, 50)
train_loss: 0.693687915802002, val_loss: 0.7039988040924072

('adam', 0.001, 32, 100)
train_loss: 0.6927741169929504, val_loss: 0.6914676427841187

('adam', 0.001, 64, 10)
train_loss: 0.6980053782463074, val_loss: 0.7152353525161743

('adam', 0.001, 64, 50)
train_loss: 0.7108367085456848, val_loss: 0.7485518455505371

('adam', 0.001, 64, 100)
train_loss: 0.7077361345291138, val_loss: 0.7456105947494507

('adam', 0.01, 8, 10)
train_loss: 0.6933583617210388, val_loss: 0.705919086933136

('adam', 0.01, 8, 50)
train_loss: 0.6982402205467224, val_loss: 0.6798571944236755

('adam', 0.01, 8, 100)
train_loss: 0.6936189532279968, val_loss: 0.6963869333267212

('adam', 0.01, 16, 10)
train_loss: 0.7005882859230042, val_loss: 0.727440357208252

('adam', 0.01, 16, 50)
train_loss: 0.692169725894928, val_loss: 0.7014153003692627

('adam', 0.01, 16, 100)
train_loss: 0.6953157186508179, val_loss: 0.7182967662811279

('adam', 0.01, 32, 10)
train_loss: 0.6936059594154358, val_loss: 0.6879041194915771

('adam', 0.01, 32, 50)
train_loss: 0.6920918226242065, val_loss: 0.699618935585022

('adam', 0.01, 32, 100)
train_loss: 0.6921483874320984, val_loss: 0.6975618600845337

('adam', 0.01, 64, 10)
train_loss: 0.7015552520751953, val_loss: 0.7306930422782898

('adam', 0.01, 64, 50)
train_loss: 0.692094087600708, val_loss: 0.6991109848022461

('adam', 0.01, 64, 100)
train_loss: 0.6936787962913513, val_loss: 0.6876497268676758

('adam', 0.1, 8, 10)
train_loss: 0.7062105536460876, val_loss: 0.7024522423744202

('adam', 0.1, 8, 50)
train_loss: 0.6934043169021606, val_loss: 0.6975357532501221

('adam', 0.1, 8, 100)
train_loss: 0.6930503249168396, val_loss: 0.6960675716400146

('adam', 0.1, 16, 10)
train_loss: 0.6942064166069031, val_loss: 0.6921247243881226

('adam', 0.1, 16, 50)
train_loss: 0.6927105188369751, val_loss: 0.7016109228134155

('adam', 0.1, 16, 100)
train_loss: 0.6925455331802368, val_loss: 0.6958053112030029

('adam', 0.1, 32, 10)
train_loss: 0.6932185292243958, val_loss: 0.6977345943450928

('adam', 0.1, 32, 50)
train_loss: 0.6938529014587402, val_loss: 0.703627347946167

('adam', 0.1, 32, 100)
train_loss: 0.6929174661636353, val_loss: 0.6963063478469849

('adam', 0.1, 64, 10)
