
Run from 2023-04-02 10:55:46.465159
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.01, 50, 100)
train_loss: 0.6984050273895264, val_loss: 0.7185481786727905

('adam', 0.01, 50, 200)
train_loss: 0.6907652020454407, val_loss: 0.6843258142471313

('adam', 0.01, 50, 300)
train_loss: 0.6895155906677246, val_loss: 0.6679577827453613

('adam', 0.01, 100, 100)
train_loss: 0.6912487745285034, val_loss: 0.6874961853027344

('adam', 0.01, 100, 200)
train_loss: 0.6895143985748291, val_loss: 0.6683946847915649

('adam', 0.01, 100, 300)
train_loss: 0.6896154880523682, val_loss: 0.6725727319717407

('adam', 0.01, 200, 100)
train_loss: 0.7003494501113892, val_loss: 0.7251826524734497

('adam', 0.01, 200, 200)
train_loss: 0.6895143985748291, val_loss: 0.6684201955795288

('adam', 0.01, 200, 300)
train_loss: 0.6895143985748291, val_loss: 0.6683955192565918

('adam', 0.1, 50, 100)
train_loss: 0.6895154714584351, val_loss: 0.668777346611023

('adam', 0.1, 50, 200)
train_loss: 0.6895143389701843, val_loss: 0.6683962941169739

('adam', 0.1, 50, 300)
train_loss: 0.6895143985748291, val_loss: 0.6683957576751709

('adam', 0.1, 100, 100)
train_loss: 0.6895148754119873, val_loss: 0.6684448719024658

('adam', 0.1, 100, 200)
train_loss: 0.6895143985748291, val_loss: 0.6683954000473022

('adam', 0.1, 100, 300)
train_loss: 0.6895143389701843, val_loss: 0.6683958172798157

('adam', 0.1, 200, 100)
train_loss: 0.6895152926445007, val_loss: 0.6687655448913574

('adam', 0.1, 200, 200)
train_loss: 0.6895144581794739, val_loss: 0.6683946847915649

('adam', 0.1, 200, 300)
train_loss: 0.6895143985748291, val_loss: 0.6683957576751709

('adam', 0.2, 50, 100)
train_loss: 0.6895144581794739, val_loss: 0.668437123298645

('adam', 0.2, 50, 200)
train_loss: 0.6895143389701843, val_loss: 0.6683954000473022

('adam', 0.2, 50, 300)
train_loss: 0.6895143985748291, val_loss: 0.6683957576751709

('adam', 0.2, 100, 100)
train_loss: 0.6895149350166321, val_loss: 0.6686757802963257

('adam', 0.2, 100, 200)
train_loss: 0.6895143985748291, val_loss: 0.6683951616287231

('adam', 0.2, 100, 300)
train_loss: 0.6895143985748291, val_loss: 0.6683958172798157

('adam', 0.2, 200, 100)
train_loss: 0.6895144581794739, val_loss: 0.6683707237243652

('adam', 0.2, 200, 200)
train_loss: 0.6895143985748291, val_loss: 0.6683958768844604

('adam', 0.2, 200, 300)
train_loss: 0.6895143389701843, val_loss: 0.6683957576751709


---------
BEST MODEL
('adam', 0.01, 50, 300)
val_loss: 0.6679577827453613
---------

Run from 2023-04-05 15:22:28.453236
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.6993080973625183, val_loss: 0.6703540086746216

('adam', 0.001, 8, 50)
train_loss: 0.6946917772293091, val_loss: 0.706611156463623

('adam', 0.001, 8, 100)
train_loss: 0.7054773569107056, val_loss: 0.7488176226615906

('adam', 0.001, 16, 10)
train_loss: 0.7099127769470215, val_loss: 0.7579175233840942

('adam', 0.001, 16, 50)
train_loss: 0.697053074836731, val_loss: 0.6671182513237

('adam', 0.001, 16, 100)
train_loss: 0.6922914981842041, val_loss: 0.6843801736831665

('adam', 0.001, 32, 10)
train_loss: 0.6945955753326416, val_loss: 0.7062057256698608

('adam', 0.001, 32, 50)
train_loss: 0.6951125860214233, val_loss: 0.6718928813934326

('adam', 0.001, 32, 100)
train_loss: 0.6953799724578857, val_loss: 0.7101844549179077

('adam', 0.001, 64, 10)
train_loss: 0.7123993039131165, val_loss: 0.7645092010498047

('adam', 0.001, 64, 50)
train_loss: 0.6984540820121765, val_loss: 0.7235307097434998

('adam', 0.001, 64, 100)
train_loss: 0.6951370239257812, val_loss: 0.7089327573776245

('adam', 0.01, 8, 10)
train_loss: 0.6960798501968384, val_loss: 0.7115395069122314

('adam', 0.01, 8, 50)
train_loss: 0.693088173866272, val_loss: 0.6958187818527222

('adam', 0.01, 8, 100)
train_loss: 0.693534791469574, val_loss: 0.6964994668960571

('adam', 0.01, 16, 10)
train_loss: 0.6980355978012085, val_loss: 0.6600364446640015

('adam', 0.01, 16, 50)
train_loss: 0.6943904161453247, val_loss: 0.7053344249725342

('adam', 0.01, 16, 100)
train_loss: 0.690595805644989, val_loss: 0.6772151589393616

('adam', 0.01, 32, 10)
train_loss: 0.6950539946556091, val_loss: 0.7079260945320129

('adam', 0.01, 32, 50)
train_loss: 0.6907495856285095, val_loss: 0.6792048811912537

('adam', 0.01, 32, 100)
train_loss: 0.6905075907707214, val_loss: 0.6747426986694336

('adam', 0.01, 64, 10)
train_loss: 0.6916817426681519, val_loss: 0.6879652738571167

('adam', 0.01, 64, 50)
train_loss: 0.6906741857528687, val_loss: 0.6787136197090149

('adam', 0.01, 64, 100)
train_loss: 0.6904637813568115, val_loss: 0.67337965965271

('adam', 0.1, 8, 10)
train_loss: 0.6924870014190674, val_loss: 0.6890310049057007

('adam', 0.1, 8, 50)
train_loss: 0.6929752230644226, val_loss: 0.6756483316421509

('adam', 0.1, 8, 100)
train_loss: 0.6938657164573669, val_loss: 0.6793524026870728

('adam', 0.1, 16, 10)
train_loss: 0.6974456906318665, val_loss: 0.6935703754425049

('adam', 0.1, 16, 50)
train_loss: 0.6981528997421265, val_loss: 0.6767655611038208

('adam', 0.1, 16, 100)
train_loss: 0.6900076270103455, val_loss: 0.6701302528381348

('adam', 0.1, 32, 10)
train_loss: 0.6949939727783203, val_loss: 0.6876503229141235

('adam', 0.1, 32, 50)
train_loss: 0.6907354593276978, val_loss: 0.6758165955543518

('adam', 0.1, 32, 100)
train_loss: 0.6917449831962585, val_loss: 0.6697739362716675

('adam', 0.1, 64, 10)
train_loss: 0.6905549764633179, val_loss: 0.6742157936096191

('adam', 0.1, 64, 50)
train_loss: 0.6905402541160583, val_loss: 0.6689102649688721

('adam', 0.1, 64, 100)
train_loss: 0.6904574632644653, val_loss: 0.6724436283111572


---------
BEST MODEL
('adam', 0.01, 16, 10)
val_loss: 0.6600364446640015
---------

Run from 2023-04-05 16:22:34.223498
Results of Grid Search for logistic_regression: 
Order of Parameters: optimizer, learning_rate, batch_size, epochs 

('adam', 0.001, 8, 10)
train_loss: 0.7072717547416687, val_loss: 0.6675523519515991

('adam', 0.001, 8, 50)
train_loss: 0.6934078335762024, val_loss: 0.6714079976081848

('adam', 0.001, 8, 100)
train_loss: 0.692604124546051, val_loss: 0.695279598236084

('adam', 0.001, 16, 10)
train_loss: 0.702247142791748, val_loss: 0.735797643661499

('adam', 0.001, 16, 50)
train_loss: 0.694599449634552, val_loss: 0.6738905906677246

('adam', 0.001, 16, 100)
train_loss: 0.6934394836425781, val_loss: 0.6980984210968018

('adam', 0.001, 32, 10)
train_loss: 0.7109701037406921, val_loss: 0.7608602046966553

('adam', 0.001, 32, 50)
train_loss: 0.6925653219223022, val_loss: 0.6915395259857178

('adam', 0.001, 32, 100)
train_loss: 0.7070206999778748, val_loss: 0.7529678344726562

('adam', 0.001, 64, 10)
train_loss: 0.6980321407318115, val_loss: 0.6731957793235779

('adam', 0.001, 64, 50)
train_loss: 0.7113890647888184, val_loss: 0.7637683153152466

('adam', 0.001, 64, 100)
train_loss: 0.6934746503829956, val_loss: 0.7005642056465149

('adam', 0.01, 8, 10)
train_loss: 0.6968479752540588, val_loss: 0.7160755395889282

('adam', 0.01, 8, 50)
train_loss: 0.6907896995544434, val_loss: 0.6672571301460266

('adam', 0.01, 8, 100)
train_loss: 0.691016674041748, val_loss: 0.6733496189117432

('adam', 0.01, 16, 10)
train_loss: 0.7040966749191284, val_loss: 0.7434507608413696

('adam', 0.01, 16, 50)
train_loss: 0.6910915970802307, val_loss: 0.683196485042572

('adam', 0.01, 16, 100)
train_loss: 0.6908208727836609, val_loss: 0.6754710674285889

('adam', 0.01, 32, 10)
train_loss: 0.6927415728569031, val_loss: 0.6893752813339233

('adam', 0.01, 32, 50)
train_loss: 0.6906334161758423, val_loss: 0.6770370602607727

('adam', 0.01, 32, 100)
train_loss: 0.6904343962669373, val_loss: 0.6733354330062866

('adam', 0.01, 64, 10)
train_loss: 0.6940160393714905, val_loss: 0.7032053470611572

('adam', 0.01, 64, 50)
train_loss: 0.6907135248184204, val_loss: 0.6794456839561462

('adam', 0.01, 64, 100)
train_loss: 0.690471351146698, val_loss: 0.6738690137863159

('adam', 0.1, 8, 10)
train_loss: 0.6923848986625671, val_loss: 0.6649729013442993

('adam', 0.1, 8, 50)
train_loss: 0.7001084685325623, val_loss: 0.6820098161697388

('adam', 0.1, 8, 100)
train_loss: 0.6899301409721375, val_loss: 0.6706560850143433

('adam', 0.1, 16, 10)
train_loss: 0.6901053786277771, val_loss: 0.6687052249908447

('adam', 0.1, 16, 50)
train_loss: 0.7009410262107849, val_loss: 0.6923390626907349

('adam', 0.1, 16, 100)
train_loss: 0.693480908870697, val_loss: 0.6670899987220764

('adam', 0.1, 32, 10)
train_loss: 0.6924625635147095, val_loss: 0.6683772206306458

('adam', 0.1, 32, 50)
train_loss: 0.6907888650894165, val_loss: 0.6712638735771179

('adam', 0.1, 32, 100)
train_loss: 0.691242516040802, val_loss: 0.6758646368980408

